iter	RMSE
633	18799687.93
634	18789693.85
635	18771034.83
636	18765129.98
637	18754871.39
638	18742312.35
639	18729034.54
640	18724570.61
641	18711357.18
642	18705045.42
643	18700349.54
644	18694911.48
645	18682679.34
646	18671260.16
647	18660386.6
648	18647588.12
649	18644155.42
650	18630210.22
651	18620038.22
652	18614413.02
653	18601252.05
654	18595109.81
655	18577914.46
656	18570505.29
657	18559658.15
658	18551505.62
659	18540361.68
660	18528194.2
661	18523699.5
662	18504887.55
663	18493784.27
664	18488374.94
665	18485743.6
666	18475920.98
667	18467909.78
668	18457466.19
669	18448086.2
670	18435240.83
671	18425630.24
672	18414510.54
673	18411073.71
674	18403191.83
675	18395232.36
676	18382017.49
677	18371039.88
678	18367668.51
679	18364310.69
680	18349002.86
681	18346174.86
682	18338017.54
683	18329521.69
684	18317056.42
685	18313592.92
686	18294143.01
687	18278159.3
688	18262547.43
689	18256676.17
690	18252031.22
691	18249977.48
692	18241299.82
693	18230653.99
694	18224712.19
695	18221406.44
696	18212314.84
697	18193926.69
698	18186011.86
699	18183830.74
700	18170512.52
701	18165019.45
702	18161106.96
703	18146317.26
704	18141402.77
705	18130689.06
706	18122259.17
707	18110593.75
708	18101003.87
709	18092283.23
710	18082149.5
711	18073913.62
712	18061535.26
713	18052515.63
714	18047124.42
715	18043008.9
716	18035058.17
717	18025929.87
718	18011261.45
719	18005181.51
720	17997376.48
721	17988580.09
722	17983180.75
723	17978334.3
724	17972515.62
725	17969202.76
726	17965642.2
727	17963014.21
728	17951155.35
729	17945304.98
730	17941938.8
731	17938738.86
732	17927950.88
733	17922752.97
734	17909452.11
735	17903623.05
736	17898859.35
737	17885531.29
738	17876670.22
739	17869753.14
740	17860516.77
741	17849834.72
742	17843449.59
743	17834395.04
744	17830057.75
745	17826775.33
746	17818320.07
747	17810257.36
748	17805057.92
749	17801015.02
750	17796580.61
751	17793007.43
752	17781095.04
753	17772575.28
754	17767420.1
755	17764560.71
756	17754791.64
757	17741956.34
758	17725853.81
759	17720468.76
760	17714797.42
761	17704700.05
762	17700493.96
763	17688929.38
764	17675459.73
765	17664272
766	17660371.57
767	17646046.61
768	17637805.9
769	17621913.68
770	17618127.2
771	17606320.55
772	17602003.05
773	17598530.04
774	17595737.27
775	17585228.7
776	17575910.67
777	17570814.12
778	17562429.21
779	17554028.78
780	17549733.21
781	17547696.76
782	17541374.58
783	17538922.33
784	17530715.69
785	17526014.58
786	17515019.84
787	17512222.05
788	17505848.71
789	17503183.79
790	17495031.89
791	17490324.96
792	17488412.84
793	17482224.93
794	17474048.82
795	17471807.94
796	17464258.33
797	17457559.26
798	17452585.81
799	17441970.6
800	17432192.09
801	17428408.07
802	17420054.18
803	17405015.71
804	17401192.25
805	17397712.12
806	17392666.48
807	17389882.73
808	17383246.78
809	17376799.87
810	17372298.47
811	17368794.65
812	17361291.31
813	17355714.03
814	17350223.57
815	17336463.61
816	17331475.12
817	17325377.43
818	17316964.94
819	17309381.53
820	17302203.73
821	17297059.57
822	17286284.74
823	17280900.44
824	17269085.95
825	17259544.67
826	17243709.8
827	17233615.4
828	17224293.76
829	17221950.02
830	17212048.98
831	17207810.29
832	17203068.99
833	17200957.97
834	17187919.49
835	17179475.09
836	17174594.95
837	17158012.99
838	17154790.46
839	17135922.2
840	17128186.81
841	17116201.32
842	17113503.6
843	17101777.88
844	17095252.13
845	17092466.52
846	17082507.55
847	17075462.08
848	17072096.18
849	17064320.55
850	17060146.28
851	17050022.46
852	17045273.37
853	17043879.24
854	17040919.15
855	17034517.51
856	17030702.23
857	17024702.5
858	17017107.04
859	17012585.92
860	17005835.21
861	16999771.77
862	16988315.23
863	16981390.46
864	16973012.11
865	16965396.23
866	16961378.67
867	16957468.71
868	16954184.19
869	16940908.9
870	16930737.11
871	16925355.69
872	16918079.51
873	16913249.06
874	16904637.92
875	16900041.84
876	16893418.87
877	16890280.14
878	16885974.61
879	16883294.25
880	16880743.64
881	16875162.95
882	16869104.88
883	16854916.81
884	16846417.77
885	16840235.76
886	16837258.6
887	16834846.53
888	16827515
889	16814520.49
890	16811831.02
891	16808203.28
892	16794054.17
893	16784961.24
894	16778674.72
895	16770280.93
896	16764028.91
897	16754528.53
898	16743164.67
899	16731943.18
900	16728762.13
901	16724916.48
902	16715735.19
903	16705011.02
904	16698881.53
905	16694121.56
906	16690582.37
907	16686249.51
908	16683179.04
909	16673471.54
910	16666741.96
911	16665208.22
912	16655171.67
913	16652856.67
914	16649775.41
915	16647572.16
916	16639538.76
917	16637318.39
918	16628677.07
919	16625024.62
920	16619028.14
921	16616970.91
922	16612887.5
923	16604864.68
924	16596671.48
925	16589726.53
926	16586757.89
927	16584204.89
928	16575836.42
929	16572401.03
930	16568734.4
931	16562064.98
932	16548502.58
933	16543969.98
934	16533782.57
935	16531958.35
936	16524133.93
937	16522525.4
938	16517094.56
939	16513682.96
940	16509307.81
941	16504862.76
942	16498154.83
943	16490896.69
944	16488234.42
945	16482612.43
946	16469739.37
947	16466571.25
948	16461116.11
949	16456767.3
950	16453461.74
951	16451046.41
952	16446335.55
953	16442126.18
954	16430360.35
955	16419589.12
956	16415072.88
957	16409528.66
958	16403985.21
959	16394760.67
960	16387591.76
961	16374694.19
962	16365080.67
963	16360751.62
964	16358624.75
965	16353810.79
966	16348387.7
967	16340459.52
968	16330087.82
969	16325046.99
970	16318844.42
971	16310080.8
972	16303120.87
973	16298981.85
974	16292289.26
975	16290586.52
976	16287192.07
977	16281683.67
978	16273425.95
979	16265359.95
980	16250616.2
981	16246815.04
982	16240261.55
983	16238164.22
984	16232362.76
985	16223818.91
986	16217006.72
987	16213217.34
988	16204286.23
989	16201880.36
990	16195328.56
991	16188720.32
992	16182986.15
993	16176105
994	16172746.86
995	16169444.11
996	16162231.34
997	16155783.67
998	16152972.26
999	16148634.85
1000	16142117.59
1001	16135550.04
1002	16131933.15
1003	16126632.24
1004	16124449.62
1005	16119134.85
1006	16116206.27
1007	16113425.88
1008	16104671.95
1009	16102223.38
1010	16097484.41
1011	16088989.03
1012	16084235.11
1013	16077438.61
1014	16073308.84
1015	16066860.55
1016	16062053.48
1017	16058126.01
1018	16053557.98
1019	16048222.26
1020	16046521.68
1021	16037052.83
1022	16028236.97
1023	16023110.85
1024	16019548.17
1025	16011937.08
1026	16007461.34
1027	16001914.32
1028	15992744.68
1029	15990027.69
1030	15986355.26
1031	15982195.81
1032	15977463.26
1033	15973765
1034	15970914.34
1035	15969788.49
1036	15965386.48
1037	15962509.54
1038	15959182.32
1039	15954326.31
1040	15951031.66
1041	15947257.04
1042	15943355.79
1043	15933300.72
1044	15926666.13
1045	15920774.62
1046	15916764.68
1047	15908847.68
1048	15906272.88
1049	15895537.22
1050	15889133.97
1051	15886189.74
1052	15873649.26
1053	15866922.41
1054	15864530.71
1055	15856976.61
1056	15855942.84
1057	15847791.49
1058	15839842.96
1059	15836051.92
1060	15832876.93
1061	15825296.97
1062	15821393.97
1063	15817092.32
1064	15812450.78
1065	15805395.27
1066	15803840.19
1067	15796898.62
1068	15789804.75
1069	15774193.93
1070	15768171.21
1071	15763504.51
1072	15757633.26
1073	15751050.61
1074	15743318.75
1075	15730532.32
1076	15725883.9
1077	15722321.07
1078	15714554.33
1079	15706286.74
1080	15701206.86
1081	15697112.35
1082	15690826.61
1083	15687552.59
1084	15682138.46
1085	15679241.64
1086	15675807.1
1087	15671738.74
1088	15665306.88
1089	15660099.1
1090	15657302.43
1091	15651699.18
1092	15649762.28
1093	15645146.03
1094	15636524.37
1095	15632123.73
1096	15625679.03
1097	15620131.7
1098	15618189.15
1099	15617352.26
1100	15609667.86
1101	15603406.14
1102	15601195.74
1103	15597191.37
1104	15590114.3
1105	15587120.81
1106	15584998.83
1107	15579553.13
1108	15574134.7
1109	15556533.2
1110	15554675.87
1111	15549808.87
1112	15547049.61
1113	15543825.96
1114	15532649.99
1115	15530950.04
1116	15525691.38
1117	15522641.27
1118	15516663.58
1119	15514467.59
1120	15508581.58
1121	15503863.72
1122	15492692.99
1123	15483965.77
1124	15478629.36
1125	15474247.16
1126	15470884.09
1127	15464246.04
1128	15462195.55
1129	15455158.96
1130	15452489.11
1131	15449569.01
1132	15444458.26
1133	15439406.17
1134	15434633.98
1135	15432538.16
1136	15428022.64
1137	15420087.95
1138	15417956.82
1139	15411093.07
1140	15408603.54
1141	15397814.44
1142	15393611.39
1143	15389545.83
1144	15379991.8
1145	15376058.35
1146	15370524.07
1147	15366378.66
1148	15354446.65
1149	15348812.21
1150	15342777.68
1151	15331843.89
1152	15327109.06
1153	15325206
1154	15313489.06
1155	15308889.71
1156	15305754.72
1157	15304582.09
1158	15299806.3
1159	15297851.73
1160	15285226.26
1161	15283125.02
1162	15280845.87
1163	15269840.7
1164	15268356.82
1165	15262323.14
1166	15254830.59
1167	15243786.75
1168	15237760.35
1169	15233358.68
1170	15232670.72
1171	15228545.52
1172	15223632.3
1173	15216467.93
1174	15213036.5
1175	15208041.57
1176	15202654.13
1177	15201039.95
1178	15194431.23
1179	15183110.67
1180	15179961.17
1181	15177140.79
1182	15174309.76
1183	15170661.36
1184	15167779.83
1185	15164289.15
1186	15158525.52
1187	15155089.21
1188	15151922.64
1189	15149983.37
1190	15148976.53
1191	15145757.18
1192	15137832.22
1193	15131335.73
1194	15125785.71
1195	15119862.28
1196	15118146.58
1197	15112776.05
1198	15109265.59
1199	15106101.26
1200	15103172.55
1201	15101059.49
1202	15097862.89
1203	15096239.18
1204	15090818.23
1205	15087828.31
1206	15080188.02
1207	15078009.66
1208	15072242.28
1209	15068239.72
1210	15067055.37
1211	15065707.12
1212	15064152.42
1213	15057302.47
1214	15055961.32
1215	15051192.97
1216	15046246.52
1217	15044056.22
1218	15037103.93
1219	15035060.09
1220	15032068.67
1221	15027832.8
1222	15024738.75
1223	15020510.92
1224	15014281.47
1225	15012124.48
1226	15005212.88
1227	15002008.98
1228	14994219.19
1229	14986491
1230	14983917.61
1231	14980696.5
1232	14976842.86
1233	14971630.63
1234	14970170.48
1235	14961963.7
1236	14958516.18
1237	14953993.95
1238	14947092.47
1239	14943490.31
1240	14940970.87
1241	14936104.48
1242	14931063.8
1243	14929562.54
1244	14926563.65
1245	14920120.55
1246	14916278.87
1247	14911701.42
1248	14904581.87
1249	14893065.14
1250	14889070.14
1251	14883561.95
1252	14876998.55
1253	14865494.67
1254	14859564.4
1255	14854015.8
1256	14850187.77
1257	14848132.61
1258	14844565.22
1259	14840844.92
1260	14837905.02
1261	14829904.54
1262	14825618.24
1263	14821005.05
1264	14815608.62
1265	14804543.58
1266	14799764.57
1267	14791663.01
1268	14789638.21
1269	14781465.55
1270	14778133.5
1271	14773089.06
1272	14769713.95
1273	14768107.92
1274	14762068.67
1275	14755261.59
1276	14753380.73
1277	14746216.36
1278	14743408.45
1279	14738067
1280	14735408.31
1281	14733148.29
1282	14725565.97
1283	14720837.45
1284	14712789.06
1285	14707546.56
1286	14704144.48
1287	14699748.97
1288	14691124.97
1289	14688280.05
1290	14683016.37
1291	14675253.6
1292	14671573.85
1293	14669512.46
1294	14665375.21
1295	14661895.1
1296	14652842.09
1297	14645192.34
1298	14636328.86
1299	14631177.13
1300	14627869.41
1301	14625380.15
1302	14620172.58
1303	14614033.14
1304	14608792.65
1305	14604297.27
1306	14597557.03
1307	14591818.88
1308	14585384.88
1309	14578014.21
1310	14574457.96
1311	14566248.85
1312	14556271.49
1313	14548037.94
1314	14546781.85
1315	14543504.81
1316	14541282.13
1317	14534746.73
1318	14529403.3
1319	14523389.29
1320	14521067.28
1321	14513044.05
1322	14507905.45
1323	14506102.47
1324	14495083.58
1325	14493710.27
1326	14486944.24
1327	14485657.39
1328	14479895.94
1329	14467179.96
1330	14465125.39
1331	14460493.73
1332	14457596.7
1333	14450897.01
1334	14447100.91
1335	14444627.27
1336	14442419.8
1337	14440166.64
1338	14436918.75
1339	14429737.45
1340	14421741.42
1341	14412933.73
1342	14408884.16
1343	14401784.09
1344	14396657.85
1345	14394451.23
1346	14388711.14
