Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Hirschegg - Heuberg - Walmendingerhorn - Ifen,https://sielok.hu/siterep/hirschegg/,Vorarlberg,1070,1946,33.7,876,14,2022.12.16.,2023.04.16.,841.0,57.5,8,1,19.5,11.9,2.3,4,1,0,0
Hittisau - Alpenarena Hochhäderich,https://sielok.hu/siterep/hittisau-hochhaederich-alpenarena/,Vorarlberg,1250,1600,10.5,350,5,2022.12.16.,2023.04.10.,847.0,36.0,4,0,3.5,5.0,2.0,1,0,0,0
Hittisau - Hittisberg,https://sielok.hu/siterep/hittisau-hausberg/,Vorarlberg,800,1000,1.9,200,2,,,848.0,20.0,2,0,1.0,0.9,0.0,0,0,0,0
Hochbärneck,https://sielok.hu/siterep/hochbarneck/,Alsó-Ausztria,800,1100,5.0,300,2,,,389.0,,2,0,3.0,2.0,0.0,0,0,0,0
Hochficht,https://sielok.hu/siterep/hochficht/,Felső-Ausztria,866,1338,20.1,472,9,2022.12.10.,2023.03.26.,501.0,47.0,4,0,9.1,10.0,1.0,3,0,2,0
Hochkar,https://sielok.hu/siterep/hochkar/,Alsó-Ausztria,1380,1808,19.2,428,8,2022.12.14.,2023.04.10.,426.0,43.5,2,0,5.7,10.0,3.5,6,0,0,0
Hochkönig,https://sielok.hu/siterep/hochkonig/,Salzburg,800,1900,120.0,1100,34,2022.12.08.,2023.04.10.,618.0,68.0,19,0,52.0,41.0,27.0,8,0,7,0
Hochlecken - Neukirchen - Altmünster,https://sielok.hu/siterep/hochlecken-neukirchen-altmuenster/,Felső-Ausztria,870,1150,4.0,280,5,,,499.0,,5,0,2.0,1.0,1.0,0,0,0,0
Hochrindl - Sirnitz - Deutsch Griffen,https://sielok.hu/siterep/hochrindl/,Karintia,1540,1886,20.6,346,7,2022.12.10.,2023.03.12.,555.0,42.0,6,0,5.4,11.4,3.8,1,0,0,0
Hochzeiger -  Pitztal,https://sielok.hu/siterep/hochzeiger/,Tirol,1450,2488,40.0,1038,9,2022.12.02.,2023.04.15.,795.0,47.0,4,0,10.0,22.0,8.0,4,0,1,0
