host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_cleanliness,review_scores_value,instant_bookable,reviews_per_month,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_are_shared,bathrooms_count,amenity_washer,amenity_hangers,amenity_long_term_stays_allowed,amenity_shampoo,amenity_dishes_and_silverware,amenity_elevator,amenity_tv,amenity_hot_water,amenity_workspace,amenity_stove,amenity_bed_linens,amenity_refrigerator,amenity_hair_dryer,amenity_iron,amenity_coffee_maker,amenity_cooking_basics,name_cleaned_length,description_cleaned_length,name_touristy
0,1.0,1,entire_place,4,1.0,1.0,45.0,0,0,12,0,4.55,4.45,0,0.15,0,0,Leopoldstadt,9.575342465753424,6.895890410958904,4.1506849315068495,0,1.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,133,1
0,0.0,1,entire_place,3,1.0,1.0,59.0,6,273,58,0,4.78,4.49,1,0.51,0,0,Neubau,9.764383561643836,9.432876712328769,5.328767123287672,0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,152,1
0,3.0,1,private_room,4,1.0,2.0,42.0,0,0,13,0,5.0,4.85,0,0.12,0,0,Other,9.536986301369865,9.282191780821918,4.876712328767123,1,1.0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,8,160,0
1,2.0,1,entire_place,5,1.0,2.0,85.0,9,308,24,0,4.86,4.81,1,0.34,0,1,Landstra§e,9.536986301369865,5.93972602739726,4.36986301369863,0,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,131,1
1,2.0,1,entire_place,5,1.0,3.0,79.0,0,249,40,0,4.89,4.64,1,0.42,0,1,Margareten,9.536986301369865,7.901369863013699,4.095890410958904,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,152,0
0,15.0,1,entire_place,6,2.0,4.0,140.0,30,365,14,0,4.92,4.0,0,0.51,1,0,Margareten,9.526027397260274,2.3863013698630136,2.8219178082191783,0,1.0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,6,154,0
1,2.0,1,private_room,2,1.0,1.0,28.0,0,323,168,1,4.93,4.83,0,1.49,0,1,Ottakring,9.528767123287672,9.435616438356163,2.778082191780822,0,1.5,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,6,171,0
1,4.0,1,private_room,2,1.0,1.0,85.0,30,365,3,0,5.0,5.0,0,0.08,0,0,Mariahilf,9.89041095890411,3.263013698630137,4.6876712328767125,0,1.0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,4,163,0
0,22.0,1,entire_place,3,1.0,2.0,37.0,8,332,342,2,4.18,4.34,0,3.18,0,0,Landstra§e,9.608219178082193,8.978082191780821,1.082191780821918,0,1.0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,4,165,1
0,2.0,1,entire_place,2,1.0,0.0,50.0,24,359,127,0,4.89,4.77,0,1.14,0,0,Mariahilf,9.490410958904109,9.27945205479452,1.501369863013699,0,1.0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,6,163,0
