host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_count,amenity_kitchen,amenity_hot_water,amenity_cooking_basics,amenity_long_term_stays_allowed,amenity_iron,amenity_workspace,amenity_bed_linens,amenity_hangers,amenity_refrigerator,amenity_air_conditioning,amenity_dishes_and_silverware,amenity_shampoo,amenity_tv,amenity_coffee_maker,amenity_washer,amenity_stove,name_cleaned_length,description_cleaned_length,name_touristy
within_hour,1.0,0.83,0,1,private_room,2,1.0,2.0,69.0,18,322,15,0,0,4.53,4.87,4.27,0,0,0,Centro Storico,11.134246575342466,5.912328767123288,4.950684931506849,1.0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,5,143,0
within_hour,1.0,1.0,0,1,entire_place,4,1.0,2.0,65.0,21,349,88,23,1,4.78,4.94,4.69,1,0,0,Centro Storico,10.564383561643837,5.315068493150685,0.5780821917808219,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,156,1
within_day,1.0,1.0,1,1,entire_place,4,1.0,2.0,59.0,0,284,35,1,0,4.52,4.76,4.39,1,0,0,Isolotto Legnaia,10.558904109589042,8.876712328767123,1.8547945205479448,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,154,1
within_hour,1.0,0.99,0,1,entire_place,2,1.0,1.0,46.0,2,302,812,24,3,4.85,4.91,4.83,0,0,1,Centro Storico,10.558904109589042,9.561643835616438,0.1972602739726027,1.0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,5,154,0
missing,,,0,1,private_room,8,2.0,8.0,100.0,0,134,8,0,0,5.0,4.63,4.88,0,1,1,Gavinana Galluzzo,10.528767123287672,4.841095890410959,5.989041095890411,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,155,0
within_hour,1.0,1.0,1,1,entire_place,4,2.0,3.0,165.0,2,215,509,47,3,4.93,4.99,4.92,1,0,0,Centro Storico,10.506849315068491,7.747945205479452,0.2219178082191781,2.0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,6,83,1
within_hour,1.0,1.0,0,1,entire_place,4,1.0,1.0,168.0,0,41,3,0,0,4.5,5.0,4.0,1,0,1,Centro Storico,8.794520547945206,6.76986301369863,4.279452054794521,1.0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,5,167,0
within_hour,1.0,1.0,0,1,entire_place,6,2.0,4.0,160.0,0,41,10,0,0,4.5,4.9,4.2,1,0,0,Centro Storico,8.794520547945206,2.068493150684932,3.695890410958904,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,164,1
within_hour,1.0,1.0,0,1,entire_place,6,2.0,4.0,158.0,0,41,21,0,0,4.38,5.0,4.29,1,0,1,Centro Storico,8.794520547945206,3.063013698630137,1.9589041095890407,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,5,143,1
within_day,0.5,0.5,0,1,entire_place,6,2.0,6.0,140.0,0,193,5,0,0,4.6,5.0,4.8,0,0,0,Centro Storico,10.482191780821918,5.293150684931507,4.178082191780822,2.0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,8,151,1
within_day,0.5,0.5,0,1,entire_place,2,1.0,4.0,146.0,0,193,1,0,0,5.0,5.0,5.0,0,0,1,Centro Storico,10.482191780821918,1.956164383561644,1.956164383561644,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,7,140,1
within_day,0.5,0.5,0,1,entire_place,2,1.0,4.0,146.0,0,193,4,0,0,4.5,5.0,4.75,0,0,1,Centro Storico,10.482191780821918,4.928767123287671,4.301369863013699,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,9,156,1
within_few_hours,1.0,0.92,0,1,entire_place,10,5.0,5.0,320.0,3,270,180,1,0,4.66,4.92,4.83,0,0,0,Centro Storico,10.523287671232875,8.621917808219179,1.6794520547945206,3.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4,150,0
missing,,,0,1,entire_place,3,1.0,1.0,69.0,3,338,98,0,0,4.88,4.84,4.72,0,0,1,Centro Storico,11.178082191780822,9.972602739726028,4.0,1.0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,5,149,1
within_hour,1.0,0.98,1,1,entire_place,4,1.0,2.0,100.0,22,346,81,0,0,5.0,4.99,4.91,0,0,0,Centro Storico,10.438356164383562,10.093150684931508,1.9342465753424656,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,138,0
within_day,0.5,0.5,0,1,entire_place,4,1.0,4.0,100.0,0,192,1,0,0,4.0,5.0,4.0,0,0,0,Centro Storico,10.482191780821918,1.5315068493150683,1.5315068493150683,2.0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,9,154,0
within_few_hours,1.0,0.84,0,1,entire_place,2,1.0,1.0,135.0,0,169,97,0,0,4.85,4.9,4.81,0,0,1,Centro Storico,10.424657534246576,8.312328767123288,2.863013698630137,1.5,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,5,160,0
missing,,0.5,0,1,private_room,2,1.0,1.0,60.0,30,365,15,0,0,4.86,4.69,4.38,0,0,0,Centro Storico,10.41917808219178,2.208219178082192,2.3808219178082197,1.0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,5,151,0
within_hour,1.0,0.99,1,1,entire_place,4,2.0,3.0,143.0,4,256,93,6,1,4.95,4.96,4.89,1,0,0,Centro Storico,10.408219178082192,8.372602739726027,1.5863013698630135,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9,155,0
within_hour,1.0,,0,1,entire_place,2,1.0,2.0,60.0,30,365,43,0,0,4.79,4.76,4.58,1,0,0,Campo di Marte,10.405479452054797,5.663013698630137,1.8136986301369864,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,159,0
within_hour,0.94,1.0,0,1,private_room,3,1.0,2.0,39.0,5,306,339,6,1,4.79,4.89,4.79,1,0,0,Centro Storico,10.389041095890413,9.446575342465753,1.6547945205479453,1.0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,5,157,0
within_hour,0.71,1.0,0,0,hotel_room,2,1.0,1.0,90.0,14,345,122,0,0,4.81,4.89,4.49,1,1,1,Centro Storico,10.383561643835616,9.136986301369864,1.6,1.0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,6,126,1
missing,,0.0,0,1,entire_place,10,3.0,7.0,156.0,30,365,412,0,0,4.52,4.93,4.73,0,0,0,Centro Storico,8.556164383561644,10.263013698630138,1.5041095890410958,2.0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,6,165,0
within_hour,1.0,1.0,0,1,entire_place,10,4.0,7.0,310.0,10,22,36,1,0,4.67,4.89,4.5,1,0,1,Centro Storico,8.794520547945206,4.917808219178082,1.893150684931507,2.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,6,142,0
within_day,0.5,0.8,0,1,private_room,2,1.0,1.0,65.0,30,365,99,0,0,4.9,4.92,4.84,0,0,1,Centro Storico,10.323287671232876,9.33972602739726,4.131506849315069,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,39,1
within_hour,1.0,1.0,0,1,entire_place,5,2.0,4.0,132.0,3,338,39,0,0,4.97,4.79,4.79,0,0,0,Centro Storico,10.564383561643837,6.219178082191781,4.18082191780822,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,158,0
within_hour,0.67,0.88,0,1,entire_place,6,2.0,4.0,65.0,0,254,200,0,0,4.7,4.59,4.71,0,0,1,Isolotto Legnaia,10.27945205479452,7.213698630136986,1.6657534246575345,1.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,5,148,0
missing,,,1,1,private_room,2,1.0,1.0,65.0,22,346,149,0,0,4.81,4.74,4.75,0,0,1,Centro Storico,10.26849315068493,8.87945205479452,3.306849315068493,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,149,1
missing,,1.0,1,1,entire_place,4,2.0,3.0,50.0,26,357,178,0,0,4.75,4.45,4.6,0,0,0,Gavinana Galluzzo,10.265753424657534,9.202739726027398,1.9205479452054797,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,5,129,0
within_day,1.0,0.75,0,1,entire_place,2,1.0,1.0,70.0,14,316,90,0,0,4.85,4.95,4.73,0,0,1,Centro Storico,10.263013698630138,8.241095890410959,2.6301369863013697,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,112,1
missing,,,1,1,private_room,3,1.0,2.0,38.0,0,315,656,0,0,4.96,4.53,4.81,0,0,0,Rifredi,10.257534246575345,10.013698630136986,1.536986301369863,1.0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,8,168,0
missing,,,0,1,private_room,2,1.0,2.0,79.0,27,267,336,0,0,4.72,4.89,4.68,0,0,0,Centro Storico,10.257534246575345,9.835616438356164,2.8219178082191783,1.0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,9,140,1
few_days,0.0,,0,0,private_room,2,1.0,0.0,36.0,30,365,43,0,0,4.64,4.45,4.45,0,0,1,Centro Storico,10.254794520547945,9.449315068493153,3.0904109589041098,1.0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,4,156,1
within_hour,1.0,0.83,0,1,private_room,2,1.0,2.0,60.0,11,315,7,0,0,4.14,4.86,4.43,0,0,0,Centro Storico,11.134246575342466,7.419178082191781,5.931506849315069,1.0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,5,142,0
missing,,,0,1,private_room,2,1.0,1.0,65.0,29,89,106,0,0,4.48,4.48,4.4,1,0,1,Gavinana Galluzzo,10.24931506849315,7.832876712328767,2.98082191780822,1.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,5,172,0
within_hour,1.0,0.5,1,1,entire_place,1,1.0,1.0,40.0,0,285,52,0,0,4.86,4.92,4.81,0,0,1,Centro Storico,10.24109589041096,6.405479452054794,1.926027397260274,1.0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,7,133,1
missing,,,0,1,private_room,2,1.0,1.0,51.0,27,87,102,0,0,4.74,4.85,4.71,0,0,0,Centro Storico,10.367123287671232,8.95068493150685,3.2794520547945205,2.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,174,0
within_hour,1.0,1.0,0,1,entire_place,9,3.0,7.0,198.0,19,325,25,0,0,4.88,4.88,4.75,1,0,0,Centro Storico,10.227397260273971,7.975342465753425,2.468493150684932,2.0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,8,157,1
within_hour,1.0,1.0,0,1,entire_place,4,1.0,2.0,176.0,0,0,11,0,0,4.0,4.91,4.45,1,0,1,Centro Storico,8.794520547945206,3.202739726027397,2.350684931506849,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,5,167,0
within_hour,1.0,1.0,0,1,entire_place,4,2.0,2.0,61.0,0,0,11,0,0,4.91,4.82,4.82,1,0,1,Centro Storico,10.213698630136989,3.912328767123288,1.9397260273972603,1.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,3,102,0
within_hour,1.0,1.0,0,1,entire_place,8,3.0,5.0,475.0,14,268,64,4,0,4.72,4.98,4.55,1,0,1,Centro Storico,8.794520547945206,6.216438356164384,1.7561643835616438,2.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,6,145,1
within_hour,1.0,1.0,1,1,private_room,2,1.0,1.0,44.0,4,81,644,62,5,4.74,4.88,4.71,1,0,0,Centro Storico,10.2,9.36986301369863,0.1589041095890411,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,177,0
within_day,1.0,0.42,0,0,private_room,2,1.0,1.0,19.0,27,362,66,0,0,4.55,4.65,4.67,0,0,1,Centro Storico,10.186301369863012,7.873972602739726,4.920547945205479,1.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,91,0
