id,num_of_stops,total_distance,shortName,type,From,To
BKK_1821,15.0,5880.0,182A,BUS,Gilice tér (Varjú utca),Kőbánya-Kispest M
BKK_1950,34.0,16406.0,195,BUS,"Rákoskeresztúr, városkp.",Puskás Ferenc Stadion M
BKK_1350,22.0,14053.0,135,BUS,"Soroksár, IKEA áruház",Millenniumtelep H
BKK_0931,24.0,9683.0,93A,BUS,Fedezék utca,Kőbánya-Kispest M
BKK_2005,12.0,16380.0,200E,BUS,Cargo City-Liszt F. Airport 2,Kőbánya-Kispest M
BKK_1200,17.0,7182.0,120,BUS,Újpest-központ M,Göncz Árpád városkp. M
BKK_2200,12.0,4565.0,220,BUS,"Újpest, Erdősor út",Újpest-központ M
BKK_1240,30.0,12359.0,124,BUS,"Rákospalota, Bogáncs utca",Bosnyák tér
BKK_0230,19.0,9011.0,23,BUS,Boráros tér H,"P.erzsébet, Ady Endre tér"
BKK_0250,22.0,9869.0,25,BUS,Újpest-központ M,Mexikói út M
BKK_1040,27.0,16196.0,104,BUS,"Dunakeszi, Auchan áruház","Rákospalota, Kossuth utca"
BKK_1250,29.0,11024.0,125,BUS,"Rákospalota, MEDIMPEX",Bosnyák tér
BKK_2040,27.0,17834.0,204,BUS,"B.megyer, Újmegyeri tér","Rákospalota, Kossuth utca"
BKK_1700,16.0,6736.0,170,BUS,"Rákospalota, Csömöri-p.",Újpest-központ M
BKK_2810,31.0,13985.0,281,BUS,Aszódi utca,"József A. ltp., Távíró utca"
BKK_1590,12.0,4683.0,159,BUS,Szent László utcai ltp.,"Csepel, Szent Imre tér"
BKK_2240,36.0,23144.0,224,BUS,"Újpalota, Szentmihályi út","Újpalota, Szentmihályi út"
BKK_1470,12.0,5079.0,147,BUS,"Megyer, Julianus barát u.",Újpest-központ M
BKK_1260,12.0,7810.0,126,BUS,"Dunakeszi, Auchan áruház","Káp.megyer, Szilas-patak"
BKK_0880,56.0,29679.0,88,BUS,Budatétény vá. (Campona),Kelenföld vasútállomás M
BKK_2400,17.0,10840.0,240,BUS,Móricz Zs. körtér M,Budaörsi lakótelep
BKK_2180,24.0,12160.0,218,BUS,"Solymár, Auchan áruház",Szentlélek tér H
BKK_2825,19.0,11828.0,282E,BUS,Alacskai úti lakótelep,Kőbánya-Kispest M
BKK_1310,16.0,8011.0,131,BUS,"Kisszentmihály, Baross u.",Örs vezér tere M H
BKK_2120,27.0,11750.0,212,BUS,Svábhegy,Boráros tér H
BKK_1401,24.0,12086.0,140A,BUS,Budaörsi lakótelep,Széll Kálmán tér M
BKK_0210,22.0,9205.0,21,BUS,Széll Kálmán tér M,"Csillebérc, KFKI"
BKK_1400,41.0,23159.0,140,BUS,"Törökbálint, bevásárlóközp.",Széll Kálmán tér M
BKK_0405,9.0,8294.0,40E,BUS,Budaörsi lakótelep,Kelenföld vasútállomás M
BKK_8901,4.0,5732.0,A,BUS,Stadion autóbusz-állomás,Expó tér
BKK_8905,3.0,7700.0,E,BUS,Vág utca,Expó tér
BKK_0400,15.0,7602.0,40,BUS,Budaörsi lakótelep,Kelenföld vasútállomás M
