licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
SKR832,MERCEDES Conecto 2 szóló autóbusz,BUS,47.47187,19.163069,117,Mélytó utca,Kőbánya alsó vasútáll.
SKR830,MERCEDES Conecto 2 szóló autóbusz,BUS,47.44376,19.096767,,,
V2028,Siemens Combino,TRAM,47.505768,19.062506,6,Móricz Zs. körtér M,Széll Kálmán tér M
FLR703,Volvo 7700A típusú csuklós autóbusz,BUS,47.500988,19.235697,,,
T0223,GVM (Ikarus 280)típusú trolibusz,TROLLEYBUS,47.49208,19.116306,,,
SKR829,MERCEDES Conecto 2 szóló autóbusz,BUS,47.497494,19.071714,99,Mátyás király tér,Blaha Lujza tér M
BPI131,Ikarus 435-ös típusú autóbusz,BUS,47.501595,19.236551,,,
NBW014,MERCEDES Conecto szóló (BKV),BUS,47.48664,19.227392,67,"Rákoskeresztúr, Aranylúd u.",Örs vezér tere M H
NAY265,Ikarus 412-es típusú autóbusz,BUS,47.44448,19.09665,166,Ferihegy vasútállomás,Gubacsi út / Határ út
V4238,Tátra T5C5K,TRAM,47.54817,19.029034,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
NBW015,MERCEDES Conecto szóló (BKV),BUS,47.500652,19.236322,,,
V4232,Tátra T5C5K,TRAM,47.518154,19.064058,14,"Káp.megyer, Megyeri út",Lehel tér M
NBW011,MERCEDES Conecto szóló (BKV),BUS,47.494675,18.998558,112,Bosnyák tér,Thomán István utca
NAY267,Ikarus 412-es típusú autóbusz,BUS,47.46426,19.127338,,,
V4240,Tátra T5C5K,TRAM,47.517387,19.061043,14,"Káp.megyer, Megyeri út",Lehel tér M
NAY266,Ikarus 412-es típusú autóbusz,BUS,47.462296,19.150679,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
V1313,Ganz csuklós,TRAM,47.470352,19.02528,,,
NAY268,Ikarus 412-es típusú autóbusz,BUS,47.4575,19.17744,,,
V1318,Ganz csuklós,TRAM,47.425755,19.039732,47,Városház tér,Deák Ferenc tér M
V2001,Siemens Combino,TRAM,47.50739,19.023842,6,Móricz Zs. körtér M,Széll Kálmán tér M
V2002,Siemens Combino,TRAM,47.51387,19.045837,6,Móricz Zs. körtér M,Széll Kálmán tér M
NAY270,Ikarus 412-es típusú autóbusz,BUS,47.428596,19.15649,,,
NAY269,Ikarus 412-es típusú autóbusz,BUS,47.427334,19.159382,,,
NAY271,Ikarus 412-es típusú autóbusz,BUS,47.428307,19.157888,,,
